Building,Floor,Best Available Refuge Area,Geocoding,FormattedAddress
Highlands on Hackberry (all buildin,2,Bathrooms in each apartment,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Highlands on Hackberry (all buildin,3,Bathrooms in each apartment,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Hillard Property,1,Rooms 104 and 112,"33.209841, -87.569173","Tuscaloosa, AL, USA"
HM Comer Hall,1,Restrooms outside room 147,"33.215585, -87.544259","H.M. Comer Hall, Tuscaloosa, AL 35401, USA"
Houser Hall,ALL,West stairwell,"33.21435, -87.544523","Houser Hall, Tuscaloosa, AL 35401, USA"
Houser Hall,2,Hallway,"33.21435, -87.544523","Houser Hall, Tuscaloosa, AL 35401, USA"
Indoor Tennis Facility,1,West common restrooms,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Intramural Complex,ALL,Proceed to Student Recreation Center,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Joint Eng./ A & S Students Projects,1,Rooms 102 and 104,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Lakeside Dining,1,"Dining room common restrooms, hallway between rooms 109A and 109D","33.209841, -87.569173","Tuscaloosa, AL, USA"
Lakeside Residential East,1,Hallways past lobby fire doors,"33.218511, -87.546087","Lakeside Residential Area East, Tuscaloosa, AL 35401, USA"
Lakeside Residential West,1,Hallways past lobby fire doors,"33.218571, -87.547566","Lakeside Residential Area West, Tuscaloosa, AL 35401, USA"
Law Center,1,"Hallway from room 132 to end of hall, hallway from room 141 to room 160, hallway between room 172 and room 192, room 172, room 192","33.20388, -87.535584","Law Center, Tuscaloosa, AL 35401, USA"
Little Hall,ALL,Proceed to Moore Hall,"33.208558, -87.545465","Little Hall, Tuscaloosa, AL 35401, USA"
Lloyd Hall,B,"Hallway between room 4 and room 5, hallway from room 6 to steps, hallway and restroom outside room 20A, hallway and common restrooms outside room 25","33.211017, -87.543812","Lloyd Hall, 503 6th Avenue, Tuscaloosa, AL 35487, USA"
Maintenance Grounds Garage,ALL,Proceed to Ferguson Parking Deck,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Maintenance Grounds Office,ALL,Proceed to Ferguson Parking Deck,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Mal Moore Athletics Facility,1,"Hallway outside of room 1014, pool and bathroom areas outside of pool, hallway between room 1020 and 1022","33.209841, -87.569173","Tuscaloosa, AL, USA"
Manly Hall,1,Vestibule outside room 106,"33.212599, -87.546347","Manly Hall, Tuscaloosa, AL 35401, USA"
Martha Parham Hall East,1,"Stairwell outside room 134, common restroom outside room 133B, common restroom in room 173, stairwell outside room 177","33.206505, -87.545131","Martha Parham Hall, Tuscaloosa, AL 35401, USA"
Martha Parham Hall East,2,Common restrooms and stairwells,"33.206505, -87.545131","Martha Parham Hall, Tuscaloosa, AL 35401, USA"
Martha Parham Hall West,1,"Stairwell outside room 106, common restroom outside room 104, room 127A, room 127B, room 127C, common restroom outside room 124, hallway between room 115 and room 120, stairwell outside room 123B","33.206505, -87.545131","Martha Parham Hall, Tuscaloosa, AL 35401, USA"
Martha Parham Hall West,2,Common restrooms and stairwells,"33.206505, -87.545131","Martha Parham Hall, Tuscaloosa, AL 35401, USA"
Mary Burke Hall East,1,Common restroom outside room 132,"33.206493, -87.543786","Mary Burke Hall, Tuscaloosa, AL 35401, USA"
Mary Burke Hall East,2,Common restrooms,"33.206493, -87.543786","Mary Burke Hall, Tuscaloosa, AL 35401, USA"
Mary Burke Hall West,1,Hallway between room 115 and room 120,"33.206493, -87.543786","Mary Burke Hall, Tuscaloosa, AL 35401, USA"
Mary Burke Hall West,2,Common restrooms,"33.206493, -87.543786","Mary Burke Hall, Tuscaloosa, AL 35401, USA"
Mary Harmon Bryant Hall,1,Southeast quarter of room 117,"33.211034, -87.543217","Mary Harmon Bryant Hall, Tuscaloosa, AL 35401, USA"
Maxwell Hall,1,Common restroom,"33.211035, -87.550069","Frederick R. Maxwell Hall, Tuscaloosa, AL 35401, USA"
McLure Library,B,"Restrooms, closet outside east stairwell","33.210426, -87.548989","McLure Education Library, Tuscaloosa, AL 35401, USA"
McMillan Building,1,"Hallway between room 14 and corridor, hallway between computer lab (room 104) and elevator equipment room, hallway between waiting room (room 1) and women's restroom","33.216616, -87.542119","McMillan Building, Tuscaloosa, AL 35401, USA"
Moody Music Building,B,"Hallway, common restrooms","33.207555, -87.538094","Frank M. Moody Music Building, Tuscaloosa, AL 35401, USA"
Moore Hall,B,"Hallway, common restrooms","33.208478, -87.544878","A. B. Moore Hall, Tuscaloosa, AL 35401, USA"
Morgan Hall,1,Common restrooms,"33.212394, -87.548046","Morgan Hall, Tuscaloosa, AL 35401, USA"
Moundville Archaeological Park (Jo,B,Room 1,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Moundville Archaeological Park (A,B,Rooms 1 and 3,"33.002734, -87.628053","Moundville Archaeological Park, 634 Mound Park, Moundville, AL 35474, USA"
Natatorium,1,"Room 100, room 106, hallway and restroom outside room 124","33.20534, -87.541893","Natatorium, Tuscaloosa, AL 35401, USA"
North Engineering Research,B,"Main room, hallway, common restrooms","33.215586, -87.543598","North Engineering Research Center, Tuscaloosa, AL 35401, USA"
North ten Hoor Parking Deck,ALL,Proceed to ten Hoor Parking Deck or ten Hoor Hall,"33.21313, -87.550223","North ten Hoor Parking Deck, Tuscaloosa, AL 35401, USA"
Nott Hall Annex,ALL,Proceed to Nott Hall,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Nott Hall,1,"Common restrooms outside room 159, hallway between room 134 and stairwell","33.210259, -87.54395","Nott Hall, Tuscaloosa, AL 35401, USA"
Oliver Barnard Hall,1,"Common restroom, hall outside room 109, closet outside room 105","33.209841, -87.569173","Tuscaloosa, AL, USA"
Osband Hall,1,"Room 117, hallway between room 103 and room 105","33.207581, -87.544754","Osband Hall, Tuscaloosa, AL 35401, USA"
Palmer Hall,B,Basement hallway between room 8 and stairwell,"33.217015, -87.546191","Palmer Hall, Tuscaloosa, AL 35401, USA"
Palmer Hall,1,Hallway except at main entrance,"33.217015, -87.546191","Palmer Hall, Tuscaloosa, AL 35401, USA"
Paty Hall,1,Hallway between room 114 and room 140,"33.216344, -87.546632","Paty Hall, Tuscaloosa, AL 35401, USA"
Paty Hall,2,Common area outside front stairwell,"33.216344, -87.546632","Paty Hall, Tuscaloosa, AL 35401, USA"
Paty Hall,3,Common area outside front stairwell,"33.216344, -87.546632","Paty Hall, Tuscaloosa, AL 35401, USA"
Presidential Village I,2,Hallway: if safe to do so move to North Campus Storm Shelter locatedd in Student Activity Center,"33.220236, -87.543666","Presidential Village, Tuscaloosa, AL 35401, USA"
Presidential Village 2,2,Hallway; if safe to do so move to North Campus Storm Shelter located in Student Activity Center,"33.220236, -87.543666","Presidential Village, Tuscaloosa, AL 35401, USA"
President's Mansion,1,"Common restrooms, storage outside mechanical room","33.208744, -87.546451","President's Mansion, Tuscaloosa, AL 35401, USA"
Ridgecrest South Parking Deck,ALL,South two lanes,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Reese-Phifer Hall,1,"Hallway between room 148 and room 180, hallway between room 101 and room 115","33.209563, -87.548999","Reese Phifer Hall, Tuscaloosa, AL 35401, USA"
Ridgecrest East,1,Interior hallways except in front common area,"33.217533, -87.548118","Ridgecrest East Residential, 900 2nd Street, Tuscaloosa, AL 35401, USA"
Ridgecrest South,1,Interior hallways except in front common areas,"33.21647, -87.549245","Ridgecrest South Residential, 905 2nd Street, Tuscaloosa, AL 35401, USA"
Ridgecrest West,1,Interior hallways except in front common area,"33.217773, -87.549569","Ridgecrest West Residential, 920 2nd Street, Tuscaloosa, AL 35401, USA"
Riverside Commons,1,Common restrooms,"33.214162, -87.552994","Riverside Drive, Tuscaloosa, AL 35401, USA"
Riverside Commons,2,Hallway between common restrooms,"33.214162, -87.552994","Riverside Drive, Tuscaloosa, AL 35401, USA"
Riverside East,1,Interior hallways except in front common area;  if safe to do so move to North Campus Storm Shelter locatedd in Student Activity Center,"33.218407, -87.54342","Riverside East, 706 Riverside Lane, Tuscaloosa, AL 35401, USA"
Riverside North,1,Interior hallways except in front common area;  if safe to do so move to North Campus Storm Shelter locatedd in Student Activity Center,"33.219042, -87.544063","Riverside North, 702 Riverside Lane, Tuscaloosa, AL 35401, USA"
